Prototype,Sort Order,TypologyOfCenter,TraderJoesPosition,ParkingLocation,ClosestParkingDistanceFt,TJVisibilityToMainRoad,TJSize,AltAnchor,DiagramPath,StorefrontPath,Storefront,ResidentialRelationship,Adjacent_Left_2,Adjacent_Left_1,Adjacent_Right_1,Adjacent_Right_2,Project ID,Project Name,Owner,Address,City/State,Latitude,Longitude,Total GLA,Year Built,Lot Size Acres,Parking Count,Parking Ratio / 1000 SF,Tenant Count,Tenant Count 0-3k,Tenant Count 3k-10k,Tenant Count 10k+,Grocery Tenant,Grocery SF,Grocery % GLA,Food,Food %,Hard Goods,Hard Goods %,Service,Service %,Soft Goods,Soft Goods %,Other,Other %,Vacancy,Vacancy %,Source Demographic Radius,5-Mile Population,5-Mile Income,3-Mile Population,3-Mile Income,ADT,Annual Visits,PDF File,PDF Path,Site Plan Page,Site Plan Image Path
Cluster,1,Lifestyle,Junior Anchor,Shared Field,18,No,10000,TJ Maxx; Sierra; Boston Ballet School,SameScalePlans/7.png,storefront/7.png,Flat Parapet Storefront,Nice Connection,AAA Newton (Insurance agency),Available,,,TJ_NEWTON,Newton Nexus,Crosspoint Associates,"165 Needham St, Newton, MA 02464 US","Newton, MA",42.3121235,-71.2137288,83655,1955,7.63,515,6.156236925467694,16,0,0,0,Trader Joe's,,,,,,,,,,,,,,,5 Mile,430514,207671,,,,,,,,site_plan_images/TJ_Newton.png
Cluster,2,Suburban,Junior Anchor,Front Field,32,Yes,13338,Total Wine,SameScalePlans/15.png,storefront/15.png,Flat Parapet Storefront,Acceptable Connection,FedEx Office,Available,,,TJ_SHREWSBURY,77 Boston Turnpike Retail / Medical Space,Eastern Retail Properties,"77 Boston Turnpike, Shrewsbury, MA 01545","Shrewsbury, MA",42.2754264,-71.7512608,72313,1988,8.81,377,5.213447098032166,13,8,3,2,Trader Joe's,13338,18.44481628476207,42878,59.29500919613347,2360,3.2635902,17855,24.69127266190035,0,0,6507,8.998382,0,0,5 Mile,249845,84875,,,35375,,Shrewsbury_MA_77_Boston_Tpke_3.pdf,pdfs/Shrewsbury_MA_77_Boston_Tpke_3.pdf,,site_plan_images/TJ_Shrewsbury.png
C-Shape,1,Suburban,Major Anchor,Front Field,40,Yes,11000,PetSmart; La-Z-Boy; Lakeshore,SameScalePlans/14.png,storefront/14.png,Flat Parapet Storefront,No Multifamily Within 1000 ft,,LA-Z-Boy,PetSmart,5.11 Tactical,TJ_SAUGUS,Shops at Saugus,Regency Centers,"334 Broadway / Route 1, Saugus, MA 01906","Saugus, MA",42.483633,-71.018139,94393,2008,10.62,,,19,12,4,3,Trader Joe's,11000,11.65340650260082,25988,27.53170256269003,41959,44.45138940387528,21393,22.66375684637632,5053,5.3531512,0,0,0,0,3 Mile,96939,149844,,,115030,2375181,Property-Brochure-Shops-at-Saugus.pdf,pdfs/Property-Brochure-Shops-at-Saugus.pdf,,site_plan_images/TJ_Saugus.png
C-Shape,2,Suburban,Major Anchor,Front Field,42,No,14679,Office Depot; Dollar Tree,SameScalePlans/3.png,storefront/3.png,Decorative Storefront,No Multifamily Within 1000 ft,Dollar Tree,Woof Gang Bakery & Grooming,Nancy's Pizza,Town and Country Hardware,116710,Brennan Station,Kimco,"8111 Creedmoor Rd, Ste 130, Raleigh, NC","Raleigh, NC",35.898631,-78.682193,147261,,,612,4.155886487257319,30,19,7,4,Trader Joe's,14679,9.968015971642185,41942,28.481403766102364,47541,32.28349664880722,11683,7.933532978860662,6672,4.530731150813861,18754,12.735211631049632,1800,1.222319555075682,,,,,,,,116710-brennan-station-marketing-package.pdf,pdfs/116710-brennan-station-marketing-package.pdf,4,site_plan_images/116710-brennan-station-site-plan.png
C-Shape,3,Suburban,Major Anchor,Front Field,34,Yes,13045,Office Depot; Town & Country Hardware; Dollar Tree,SameScalePlans/2.png,storefront/2.png,Flat Parapet Storefront,Nice Connection,Orangetheory Fitness,J.Crew Factory,Barnes & Noble,Michaels,125240,Highland Lakes Plaza,Kimco,"33561 US Hwy 19 N, Palm Harbor, FL","Palm Harbor, FL",28.077898,-82.73803,79528,,,359,4.514133387,13,7,3,3,Trader Joe's,13045,16.40302786439996,13045,16.40302786439996,40723,51.20586460114677,7000,8.801931395231868,4750,5.972739161050196,11260,14.158535358615834,2750,3.4579016195553764,,,,,,,,125240-highland-lakes-plaza-marketing-package.pdf,pdfs/125240-highland-lakes-plaza-marketing-package.pdf,4,site_plan_images/125240-highland-lakes-plaza-site-plan.png
C-Shape,4,Suburban,Major Anchor,Front Field,34,Yes,12400,TJ Maxx; At Home; Burlington,SameScalePlans/13.png,storefront/13.png,Gabled / Pitched-Roof Storefront,No Multifamily Within 1000 ft,AAA Southern New England,Music and Arts Centers,Five Below,Burlington,TJ_PEABODY,Peabody Place,Chase Properties,"300 Andover St, Peabody, MA 01960","Peabody, MA",42.5493386,-70.9545331,242787,1984,15.88,,,17,5,7,5,Trader Joe's,12400,5.1073575,26746,11.01624057301255,187341,77.16269816752956,18634,7.6750403,10066,4.146021,0,0,0,0,5 Mile,197319,89935,,,,,30-LeasingKit.pdf,pdfs/30-LeasingKit.pdf,,site_plan_images/TJ_Peabody.png
Spine,1,Suburban,Inline,Front Field,62,Yes,12845,Best Buy,SameScalePlans/10.png,storefront/10.png,Custom Storefront,No Multifamily Within 1000 ft,Starbucks,Cardi’s Furniture,Best Buy,Available,TJ_HYANNIS,Christmas Tree Promenade / 655 Iyannough Rd Plaza,CTS FIDUCIARY LLC TR (c/o Turtle Rock LLC),"655 Iyannough Road Rt 132, Unit 4-A, Hyannis, MA 02601","Hyannis, MA",41.666074,-70.291643,72480,1989,9.15,,,5,2,0,3,Trader Joe's,12845,17.7221302,14201,19.59299116997792,58279,80.40700883002208,0,0,0,0,0,0,0,0,5 Mile,48889,92215,,,,,,,,site_plan_images/TJ_Hyannis.png
Spine,2,Inner Suburban,Inline,Front Field,31,Yes,11900,Raymour & Flanigan; Burlington; Bob's Furniture; TJ Maxx,SameScalePlans/12.png,storefront/12.png,Contemporary Entrance Tower,Nice Connection,Raymour & Flanigan Furniture,Xfinity,Burlington,Bob's Discount Furniture,TJ_SOMERVILLE,Assembly Square,federalrealty,"145 Middlesex Ave, Somerville, MA 02145 US","Somerville, MA",42.3954311,-71.0829423,319000,1975,21,1106,3.4670846394984327,13,2,2,9,Trader Joe's,17886,5.6068966,20019,6.2755486,290765,91.1489028,8514,2.6689655,0,0,0,0,0,0,5 Mile,960777,113994,,,,,,,,site_plan_images/TJ_Somerville.png
Spine,3,Inner Suburban,Inline,Shared Field,28,Yes,,CVS,SameScalePlans/27.png,storefront/27.png,Gabled / Pitched-Roof Storefront,No Multifamily Within 1000 ft,,Citizens,Aronson Insurance,CVS,TJ_MA_012,Trader Joe's Needham Heights,"HIGHLAND MONTROSE, LLC",958 Highland Ave,"Needham, MA",42.292497,-71.234601,29793,,1.81,106,3.56,3,0,0,0,Trader Joe's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5-mile / 3-mile,219424,,74855,,,,,,,site_plan_images/TJ_Needham.png
Spine,4,Power,Inline,Front Field,40,Yes,13777,Jordan's Furniture; The Home Depot,SameScalePlans/29.png,storefront/29.png,Flat Parapet Storefront,No Multifamily Within 1000 ft,Oye's Restaurant & Bar,The Paper Store,Golf Galaxy,Verizon,TJ_MA_014,The Crossing at Walkers Brook,Wilder,34 Walkers Brook Drive,"Reading, MA",42.519745,-71.09309,480000,2005,8.56,,,9,0,0,1,Trader Joe's,13777,2.87,0,0,0,0,0,0,0,0,0,0,0,0,5-mile / 3-mile,196479,139305,,,139000,3700000,Reading-MA-Walkers-Brook.pdf,pdfs/Reading-MA-Walkers-Brook.pdf,,site_plan_images/TJ_Reading.png
